Author                                                                 ;Definition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Interpretation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Origin                                                                                                                                                  ;Discipline                                        ;Year ;Title                                                                                                                                                                    ;Doi                                                                     ;Search Keys                                                              ;Url
Online Etymology Dictionary                                            ;a mode of exerting power or producing effect                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Figurative                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Medieval Latin                                                                                                                                          ;Etymology                                         ;1670 ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;
Online Etymology Dictionary                                            ;Act of the effective, powerful                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;Figurative                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Medieval Latin                                                                                                                                          ;Etymology                                         ;1670 ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;
Online Etymology Dictionary                                            ;"a doing; a driving, impulse, a setting in motion; a part in a play;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;Literal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Latin                                                                                                                                                   ;Etymology                                         ;635  ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://www.etymonline.com/word/agency
Online Etymology Dictionary                                            ;to set in motion, drive, drive forward                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;Figurative                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Latin                                                                                                                                                   ;Etymology                                         ;635  ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://www.etymonline.com/word/agency
Online Etymology Dictionary                                            ;to do, perform                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;Literal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Latin                                                                                                                                                   ;Etymology                                         ;635  ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://www.etymonline.com/word/agency
Online Etymology Dictionary                                            ;to drive                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;Literal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Old Norse                                                                                                                                               ;Etymology                                         ;635  ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://www.etymonline.com/word/agency
Online Etymology Dictionary                                            ;To battle                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Literal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Middle Irish                                                                                                                                            ;Etymology                                         ;1300 ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://www.etymonline.com/word/agency
Online Etymology Dictionary                                            ;Through it, by the means of                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Literal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Spanish                                                                                                                                                 ;Philosophy                                        ;1300 ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://www.etymonline.com/word/agency
Online Etymology Dictionary                                            ;agency, office, place of business                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Literal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Portuguese                                                                                                                                              ;Economics                                         ;1300 ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;
Gilbert Ryle                                                           ;A power of persons                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;Literal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;British                                                                                                                                                 ;Philosophy                                        ;1949 ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;
Barry Barnes                                                           ;Agency is a status not a state                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;“He is sceptical of the psychologist’s practice of attributing agency to ‘internal’ mental, or cognitive states”                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;UK                                                                                                                                                      ;Sociology                                         ;2000 ;“Understanding agency: Social theory and responsible action.”                                                                                                            ;na                                                                      ;Agency                                                                   ;
Baer, Kaufman, & Baumeister                                            ;People generally act as though they believe in their own free will: they don't feel like automatons, and they don't treat one another as they might treat robots.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;“In general, however, people implicitly assign a sense of agency and of free will, to themselves and others” While acknowledging many constraints and influences on behavior, people nonetheless act as if they (and their neighbors) are largely in control of many if not most of the decisions they make. Belief in free will also underpins the sense that people are responsible for their actions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;UK                                                                                                                                                      ;Psychology                                        ;2008 ;Are we free?                                                                                                                                                             ;https://doi.org/10.1093/acprof:oso/9780195189636.001.0001               ;Agency                                                                   ;https://psycnet.apa.org/record/2008-01933-000
Craig W. Gruber, Matthew G. Clark, Sven Hroar Klempe and Jaan Valsiner ;“earlier centuries ‘agency’ denoted the powers or capacities of states of existence like souls, gods, and material substances.”                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;“Thus, it is not linguistically incorrect to describe neurons, pharmaceuticals, emotions, intelligence, the genes, or whatever as agents.”                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;USA                                                                                                                                                     ;                                                  ;2015 ;Constraints of Agency                                                                                                                                                    ;https://doi.org/10.1007/978-3-319-10130-9_1                             ;Agency                                                                   ;https://psycnet.apa.org/record/2014-54285-001
David Rogers                                                           ;Agency in action? A neutrophil (large amorphous cell) “chases” a bacterium (small dark dumbbell) amongst red blood cells (circular cells).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;He founded disciplines of general systems biology, which drew on ideas from thermodynamics and cybernetics and recognize purpose, goals and agency in our own behaviour, we should make it inadmissible for “simpler” organisms                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;Austrian                                                                                                                                                ;Cybernetics                                       ;1950 ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://www.templeton.org/discoveries/agency-in-biology
Karl Ludwig von Bertalanffy                                            ;you cannot even think of an organism… without taking into account what variously and rather loosely is called adaptiveness, purposiveness, goal-seeking and the like.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;They contributed to the disciplines of general systems biology, which drew on ideas from thermodynamics and cyberneticsRecognize purpose, goals and agency in our own behaviour, we should make it inadmissible for “simpler” organisms                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Austrian                                                                                                                                                ;Cybernetics                                       ;1969 ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://www.templeton.org/discoveries/agency-in-biology
Moreno                                                                 ;The idea of minimal agency (MA) may be understood as the simplest agent within the known phenomenological domain,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;that is, the simplest agent as-we-know-it, and as the simplest agent that could exist, either synthetically or in a hypothetical process of biogenesis, that is, the simplest agent as-it-should-be.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Spain                                                                                                                                                   ;Logic and Philosophy of Science                   ;2018 ;On Minimal Autonomous Agency: Natural and Artificial                                                                                                                     ;https://doi.org/10.25088/ComplexSystems.27.3.289                        ;                                                                         ;https://www.complex-systems.com/abstracts/v27_i03_a06/
Moreno                                                                 ;It searches for the simplest material building blocks that, either naturally or artificially, could achieve the simplest form of organization necessary to display agency.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;The second view is more radical, since it focuses on the simplest organizational and material conditions required for generating agential capacities, not on how they are in fact minimally instantiated.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Spain                                                                                                                                                   ;Logic and Philosophy of Science                   ;2018 ;On Minimal Autonomous Agency: Natural and Artificial                                                                                                                     ;https://doi.org/10.25088/ComplexSystems.27.3.289                        ;                                                                         ;https://www.complex-systems.com/abstracts/v27_i03_a06/
